"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","357","uses the saved default retrieval path when opening the playground","Knowledge Bases page","Fri Sep 04 03:13:49 UTC 2026","passed","Fri Sep 04 03:13:49 UTC 2026","","","",""
"","1","nodeLabel prefers agent name","node helpers","Fri Sep 04 03:14:13 UTC 2026","passed","Fri Sep 04 03:14:13 UTC 2026","","","",""
"","20","adds a new case and surfaces invalid JSON without calibrating","CalibrationPanel","Fri Sep 04 03:17:05 UTC 2026","passed","Fri Sep 04 03:17:05 UTC 2026","","","",""
"","173","bulk-duplicates the selection with Cmd+D (skipping start/output)","WorkflowEditor page","Fri Sep 04 03:12:59 UTC 2026","passed","Fri Sep 04 03:12:59 UTC 2026","","","",""
"","145","creates a bounded refinement loop workflow starter","Workflows — template create flow","Fri Sep 04 03:14:39 UTC 2026","passed","Fri Sep 04 03:14:39 UTC 2026","","","",""
"","4","does not let a stale 401 clear a newer login generation","caliberApi","Fri Sep 04 03:14:41 UTC 2026","passed","Fri Sep 04 03:14:41 UTC 2026","","","",""
"","12","shows a friendly empty state when the run has no trace","WorkflowRunTracePanel","Fri Sep 04 03:16:59 UTC 2026","passed","Fri Sep 04 03:16:59 UTC 2026","","","",""
"","69","dismisses on backdrop click but not on dialog click","Workflows — delete confirmation (hardened)","Fri Sep 04 03:14:40 UTC 2026","passed","Fri Sep 04 03:14:40 UTC 2026","","","",""
"","149","turns session-memory lookup failures into stopped-run recovery guidance","WorkflowDetail calibration","Fri Sep 04 03:13:17 UTC 2026","passed","Fri Sep 04 03:13:18 UTC 2026","","","",""
"","84","lists queues with review progress","ReviewQueues","Fri Sep 04 03:16:52 UTC 2026","passed","Fri Sep 04 03:16:52 UTC 2026","","","",""
"","268","opens a queue and submits a review that writes back to the trace","ReviewQueues","Fri Sep 04 03:16:52 UTC 2026","passed","Fri Sep 04 03:16:52 UTC 2026","","","",""
"","13","stays inert when disabled","ModeSelector","Fri Sep 04 03:15:54 UTC 2026","passed","Fri Sep 04 03:15:54 UTC 2026","","","",""
"","135","disables event matching in the monitor when checkpoint persistence is disabled","WorkflowEditor handler branches","Fri Sep 04 03:13:31 UTC 2026","passed","Fri Sep 04 03:13:31 UTC 2026","","","",""
"","49","filters the add list by search","ChipMultiSelect","Fri Sep 04 03:17:18 UTC 2026","passed","Fri Sep 04 03:17:18 UTC 2026","","","",""
"","74","deletes a knowledge base from the library card after confirming","Knowledge Bases delete","Fri Sep 04 03:13:55 UTC 2026","passed","Fri Sep 04 03:13:55 UTC 2026","","","",""
"","64","closes the modal via the Close button","AttachmentBar — Paste text modal","Fri Sep 04 03:15:08 UTC 2026","passed","Fri Sep 04 03:15:08 UTC 2026","","","",""
"","185","scores a real artifact (prompt version) via predict_target + subject_ref","Evaluations page","Fri Sep 04 03:15:18 UTC 2026","passed","Fri Sep 04 03:15:18 UTC 2026","","","",""
"","5","shows upstream node output(s) as the step input","StepPreview","Fri Sep 04 03:15:01 UTC 2026","passed","Fri Sep 04 03:15:01 UTC 2026","","","",""
"","267","shows content preview","SkillWizard","Fri Sep 04 03:14:58 UTC 2026","passed","Fri Sep 04 03:14:59 UTC 2026","","Step 5: Review & Create","",""
"","106","switches side-effect level to write","ToolWizard","Fri Sep 04 03:15:11 UTC 2026","passed","Fri Sep 04 03:15:11 UTC 2026","","Step 5: Safety & Review","",""
"","228","falls back to discovered tools when policy loading and discovery fail","McpServers","Fri Sep 04 03:14:34 UTC 2026","passed","Fri Sep 04 03:14:34 UTC 2026","","","",""
"","78","refreshes the list when a workflow is renamed elsewhere","Workflows — live status refresh","Fri Sep 04 03:14:38 UTC 2026","passed","Fri Sep 04 03:14:38 UTC 2026","","","",""
"","73","reacts to workflow.run.resumed event-stream messages","WorkflowDetail calibration","Fri Sep 04 03:13:14 UTC 2026","passed","Fri Sep 04 03:13:14 UTC 2026","","","",""
"","89","filters via the chip toolbar and reflects counts","Workflows — summary tiles & status filters","Fri Sep 04 03:14:37 UTC 2026","passed","Fri Sep 04 03:14:37 UTC 2026","","","",""
"","13","turns an empty event timeline into in-flight guidance when the run is still active","WorkflowRunDebugger","Fri Sep 04 03:14:12 UTC 2026","passed","Fri Sep 04 03:14:12 UTC 2026","","","",""
